zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
58853,48.06237,-103.78588,Trenton,ND,North Dakota,True,,198.0,5.2,38105,Williams,"{""38105"": 100}",Williams,38105,False,False,America/Chicago,"(48.06237, -103.78588)",189.72937044900678,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
58856,48.59123,-103.72546,Zahl,ND,North Dakota,True,,54.0,0.1,38105,Williams,"{""38105"": 66.33, ""38023"": 33.67}",Williams|Divide,38105|38023,False,False,America/Chicago,"(48.59123, -103.72546)",201.41928305113166,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59001,45.52952,-109.54022,Absarokee,MT,Montana,True,,1574.0,4.3,30095,Stillwater,"{""30095"": 94.29, ""30009"": 5.71}",Stillwater|Carbon,30095|30009,False,False,America/Denver,"(45.52952, -109.54022)",162.53220721530738,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59002,45.99832,-108.6649,Acton,MT,Montana,True,,197.0,1.0,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(45.99832, -108.6649)",115.11164027986628,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59003,45.48179,-106.20153,Ashland,MT,Montana,True,,1168.0,0.6,30075,Powder River,"{""30075"": 61.44, ""30087"": 38.56}",Powder River|Rosebud,30075|30087,False,False,America/Denver,"(45.48179, -106.20153)",162.3811274091679,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59006,45.90755,-108.08535,Ballantine,MT,Montana,True,,1538.0,9.6,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(45.90755, -108.08535)",114.72845436982165,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59007,45.15555,-109.15805,Bearcreek,MT,Montana,True,,157.0,1.9,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.15555, -109.15805)",178.00951727711958,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59008,45.07982,-109.07496,Belfry,MT,Montana,True,,519.0,1.6,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.07982, -109.07496)",181.55120308152374,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59010,45.97505,-107.3037,Bighorn,MT,Montana,True,,154.0,0.2,30103,Treasure,"{""30103"": 54.95, ""30003"": 45.05}",Treasure|Big Horn,30103|30003,False,False,America/Denver,"(45.97505, -107.3037)",111.84299995852156,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59011,45.92453,-109.97244,Big Timber,MT,Montana,True,,3083.0,1.3,30097,Sweet Grass,"{""30097"": 100}",Sweet Grass,30097,False,False,America/Denver,"(45.92453, -109.97244)",152.46900024516256,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59012,45.29922,-106.6006,Birney,MT,Montana,True,,278.0,0.5,30087,Rosebud,"{""30087"": 100}",Rosebud,30087,False,False,America/Denver,"(45.29922, -106.6006)",166.2007278733887,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59013,45.46131,-109.08054,Boyd,MT,Montana,True,,132.0,11.8,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.46131, -109.08054)",156.97230051062692,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59014,45.15351,-108.66421,Bridger,MT,Montana,True,,1710.0,0.9,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.15351, -108.66421)",171.0325984950825,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59015,46.08464,-108.83464,Broadview,MT,Montana,True,,439.0,0.7,30111,Yellowstone,"{""30111"": 51.72, ""30095"": 28.87, ""30065"": 19.41}",Yellowstone|Stillwater|Musselshell,30111|30095|30065,False,False,America/Denver,"(46.08464, -108.83464)",112.76380054732215,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59016,45.41871,-106.93872,Busby,MT,Montana,True,,1155.0,1.1,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.41871, -106.93872)",153.37565631527264,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59018,45.85791,-110.62326,Clyde Park,MT,Montana,True,,475.0,1.0,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.85791, -110.62326)",177.75970424121806,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59019,45.62995,-109.24208,Columbus,MT,Montana,True,,4275.0,5.4,30095,Stillwater,"{""30095"": 97.83, ""30009"": 2.17}",Stillwater|Carbon,30095|30009,False,False,America/Denver,"(45.62995, -109.24208)",149.59241791220018,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59020,45.08831,-110.01499,Cooke City,MT,Montana,True,,69.0,0.1,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.08831, -110.01499)",200.50204053357152,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59022,45.57541,-107.26756,Crow Agency,MT,Montana,True,,2357.0,5.8,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.57541, -107.26756)",139.2693874437369,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59024,46.20549,-107.71464,Custer,MT,Montana,True,,334.0,0.3,30111,Yellowstone,"{""30111"": 92.12, ""30003"": 7.88}",Yellowstone|Big Horn,30111|30003,False,False,America/Denver,"(46.20549, -107.71464)",93.47170860183654,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59025,45.09503,-106.7178,Decker,MT,Montana,True,,65.0,0.0,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.09503, -106.7178)",177.83159576753172,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59026,45.46385,-108.78392,Edgar,MT,Montana,True,,177.0,3.0,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.46385, -108.78392)",151.91578256346344,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59027,45.26118,-110.90674,Emigrant,MT,Montana,True,,721.0,1.2,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.26118, -110.90674)",216.74000065077468,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59028,45.32093,-109.7434,Fishtail,MT,Montana,True,,525.0,0.6,30095,Stillwater,"{""30095"": 100}",Stillwater,30095,False,False,America/Denver,"(45.32093, -109.7434)",179.940086921113,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59029,45.4085,-108.80467,Fromberg,MT,Montana,True,,764.0,3.1,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.4085, -108.80467)",155.86581081808797,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59030,45.08882,-110.59376,Gardiner,MT,Montana,True,,1249.0,1.0,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.08882, -110.59376)",216.26313551529967,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59031,45.50005,-107.37964,Garryowen,MT,Montana,True,,308.0,1.1,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.50005, -107.37964)",143.54729090515448,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59032,47.0106,-108.75808,Grass Range,MT,Montana,True,,461.0,0.3,30027,Fergus,"{""30027"": 76.55, ""30069"": 23.45}",Fergus|Petroleum,30027|30069,False,False,America/Denver,"(47.0106, -108.75808)",58.47296507007505,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59033,45.72296,-109.73246,Greycliff,MT,Montana,True,,298.0,3.3,30097,Sweet Grass,"{""30097"": 100}",Sweet Grass,30097,False,False,America/Denver,"(45.72296, -109.73246)",156.23963820787324,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59034,45.70121,-107.7078,Hardin,MT,Montana,True,,5348.0,2.6,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.70121, -107.7078)",128.29946090347198,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59035,45.29814,-107.96042,Fort Smith,MT,Montana,True,,226.0,1.0,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.29814, -107.96042)",156.24032212058788,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59036,46.46606,-109.89035,Harlowton,MT,Montana,True,,1405.0,0.8,30107,Wheatland,"{""30107"": 100}",Wheatland,30107,False,False,America/Denver,"(46.46606, -109.89035)",123.80693021175117,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59037,45.852,-108.20927,Huntley,MT,Montana,True,,2642.0,8.2,30111,Yellowstone,"{""30111"": 92.76, ""30003"": 7.24}",Yellowstone|Big Horn,30111|30003,False,False,America/Denver,"(45.852, -108.20927)",119.34220973204124,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59038,46.18917,-107.23069,Hysham,MT,Montana,True,,513.0,0.2,30103,Treasure,"{""30103"": 87.24, ""30003"": 12.76}",Treasure|Big Horn,30103|30003,False,False,America/Denver,"(46.18917, -107.23069)",98.32028409596145,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59039,46.68533,-107.28458,Ingomar,MT,Montana,True,,47.0,0.0,30087,Rosebud,"{""30087"": 100}",Rosebud,30087,False,False,America/Denver,"(46.68533, -107.28458)",65.00501406506238,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59041,45.50239,-108.9663,Joliet,MT,Montana,True,,1971.0,4.0,30009,Carbon,"{""30009"": 97.36, ""30111"": 2.64}",Carbon|Yellowstone,30009|30111,False,False,America/Denver,"(45.50239, -108.9663)",152.29949615488334,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59043,45.53266,-106.6568,Lame Deer,MT,Montana,True,,3140.0,3.6,30087,Rosebud,"{""30087"": 70.0, ""30003"": 30.0}",Rosebud|Big Horn,30087|30003,False,False,America/Denver,"(45.53266, -106.6568)",150.12854454213175,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59044,45.64251,-108.74975,Laurel,MT,Montana,True,,12300.0,27.1,30111,Yellowstone,"{""30111"": 91.01, ""30009"": 8.99}",Yellowstone|Carbon,30111|30009,False,False,America/Denver,"(45.64251, -108.74975)",139.66191210740882,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59046,46.39147,-108.98604,Lavina,MT,Montana,True,,379.0,0.2,30037,Golden Valley,"{""30037"": 91.74, ""30065"": 8.26}",Golden Valley|Musselshell,30037|30065,False,False,America/Denver,"(46.39147, -108.98604)",97.88931304104284,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59047,45.56852,-110.55174,Livingston,MT,Montana,True,,12711.0,6.3,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.56852, -110.55174)",189.44289294273233,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59050,45.25013,-107.47849,Lodge Grass,MT,Montana,True,,1661.0,0.9,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.25013, -107.47849)",160.14097904740075,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59052,45.43651,-110.18676,McLeod,MT,Montana,True,,149.0,0.1,30097,Sweet Grass,"{""30097"": 58.83, ""30067"": 41.17}",Sweet Grass|Park,30097|30067,False,False,America/Denver,"(45.43651, -110.18676)",185.1677421221415,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59053,46.45713,-110.43492,Martinsdale,MT,Montana,True,,370.0,0.3,30059,Meagher,"{""30059"": 96.81, ""30107"": 3.19}",Meagher|Wheatland,30059|30107,False,False,America/Denver,"(46.45713, -110.43492)",145.33061125618303,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59054,46.66809,-107.7691,Melstone,MT,Montana,True,,253.0,0.2,30087,Rosebud,"{""30087"": 57.73, ""30065"": 42.27}",Rosebud|Musselshell,30087|30065,False,False,America/Denver,"(46.66809, -107.7691)",61.43461437690421,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59055,46.10282,-109.78662,Melville,MT,Montana,True,,85.0,0.1,30097,Sweet Grass,"{""30097"": 100}",Sweet Grass,30097,False,False,America/Denver,"(46.10282, -109.78662)",137.34493471533597,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59057,45.85358,-108.95377,Molt,MT,Montana,True,,878.0,1.2,30095,Stillwater,"{""30095"": 68.46, ""30111"": 31.54}",Stillwater|Yellowstone,30095|30111,False,False,America/Denver,"(45.85358, -108.95377)",129.65631885885696,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59058,46.98517,-107.79652,Mosby,MT,Montana,True,,24.0,0.0,30033,Garfield,"{""30033"": 74.43, ""30069"": 25.57}",Garfield|Petroleum,30033|30069,False,False,America/Denver,"(46.98517, -107.79652)",39.50505912828022,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59059,46.51161,-108.088,Musselshell,MT,Montana,True,,205.0,0.2,30065,Musselshell,"{""30065"": 100}",Musselshell,30065,False,False,America/Denver,"(46.51161, -108.088)",73.43964241737113,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59061,45.39634,-109.87728,Nye,MT,Montana,True,,260.0,0.6,30095,Stillwater,"{""30095"": 100}",Stillwater,30095,False,False,America/Denver,"(45.39634, -109.87728)",178.88244093200058,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59062,45.15773,-106.20895,Otter,MT,Montana,True,,29.0,0.0,30075,Powder River,"{""30075"": 69.03, ""30087"": 30.97}",Powder River|Rosebud,30075|30087,False,False,America/Denver,"(45.15773, -106.20895)",182.39871059929087,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59063,45.65079,-108.97028,Park City,MT,Montana,True,,2205.0,13.9,30095,Stillwater,"{""30095"": 99.59, ""30111"": 0.41}",Stillwater|Yellowstone,30095|30111,False,False,America/Denver,"(45.65079, -108.97028)",142.8354682786362,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59064,45.88011,-107.87245,Pompeys Pillar,MT,Montana,True,,182.0,0.3,30003,Big Horn,"{""30003"": 71.23, ""30111"": 28.77}",Big Horn|Yellowstone,30003|30111,False,False,America/Denver,"(45.88011, -107.87245)",115.89898918650763,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59065,45.26883,-110.6784,Pray,MT,Montana,True,,125.0,0.4,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.26883, -110.6784)",209.07538455127937,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59066,45.33907,-108.49718,Pryor,MT,Montana,True,,594.0,0.8,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.33907, -108.49718)",156.73599422946694,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59067,45.96827,-109.23433,Rapelje,MT,Montana,True,,262.0,0.3,30095,Stillwater,"{""30095"": 100}",Stillwater,30095,False,False,America/Denver,"(45.96827, -109.23433)",128.92506414542916,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59068,45.15929,-109.45626,Red Lodge,MT,Montana,True,,3178.0,2.4,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.15929, -109.45626)",183.40345828063099,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59069,45.72204,-109.57945,Reed Point,MT,Montana,True,,517.0,0.5,30095,Stillwater,"{""30095"": 50.66, ""30097"": 49.34}",Stillwater|Sweet Grass,30095|30097,False,False,America/Denver,"(45.72204, -109.57945)",152.16158664504817,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59070,45.36289,-109.17961,Roberts,MT,Montana,True,,1163.0,2.5,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.36289, -109.17961)",165.09561477886288,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59071,45.26582,-109.57003,Roscoe,MT,Montana,True,,160.0,0.7,30009,Carbon,"{""30009"": 100}",Carbon,30009,False,False,America/Denver,"(45.26582, -109.57003)",179.22588813679053,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59072,46.51839,-108.54969,Roundup,MT,Montana,True,,4249.0,1.3,30065,Musselshell,"{""30065"": 93.07, ""30069"": 6.93}",Musselshell|Petroleum,30065|30069,False,False,America/Denver,"(46.51839, -108.54969)",79.85790722470868,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59074,46.36062,-109.30181,Ryegate,MT,Montana,True,,430.0,0.3,30037,Golden Valley,"{""30037"": 91.48, ""30095"": 6.76, ""30107"": 1.76}",Golden Valley|Stillwater|Wheatland,30037|30095|30107,False,False,America/Denver,"(46.36062, -109.30181)",108.68119221380084,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59075,45.40457,-107.85051,Saint Xavier,MT,Montana,True,,297.0,0.6,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.40457, -107.85051)",148.7275576104657,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59076,46.28252,-107.06847,Sanders,MT,Montana,True,,48.0,1.3,30103,Treasure,"{""30103"": 100}",Treasure,30103,False,False,America/Denver,"(46.28252, -107.06847)",94.66711218846709,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59077,47.22224,-107.58999,Sand Springs,MT,Montana,True,,103.0,0.1,30033,Garfield,"{""30033"": 100}",Garfield,30033,False,False,America/Denver,"(47.22224, -107.58999)",25.22053561994705,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59078,46.32585,-109.5442,Shawmut,MT,Montana,True,,167.0,0.2,30107,Wheatland,"{""30107"": 69.81, ""30037"": 22.1, ""30097"": 8.09}",Wheatland|Golden Valley|Sweet Grass,30107|30037|30097,False,False,America/Denver,"(46.32585, -109.5442)",118.16292287029302,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59079,46.0607,-108.36718,Shepherd,MT,Montana,True,,3632.0,4.2,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(46.0607, -108.36718)",106.73746973856672,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59081,45.01979,-109.98295,Silver Gate,MT,Montana,True,,82.0,7.3,30067,Park,"{""30067"": 100}",Park,30067,False,False,America/Denver,"(45.01979, -109.98295)",203.79351327525043,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59085,46.36172,-110.14019,Two Dot,MT,Montana,True,,199.0,0.3,30107,Wheatland,"{""30107"": 100}",Wheatland,30107,False,False,America/Denver,"(46.36172, -110.14019)",137.6243995172724,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59086,46.05608,-110.65293,Wilsall,MT,Montana,True,,832.0,0.5,30067,Park,"{""30067"": 66.28, ""30031"": 31.45, ""30059"": 2.27}",Park|Gallatin|Meagher,30067|30031|30059,False,False,America/Denver,"(46.05608, -110.65293)",169.9498346133748,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59087,47.16806,-108.22779,Winnett,MT,Montana,True,,396.0,0.1,30069,Petroleum,"{""30069"": 100}",Petroleum,30069,False,False,America/Denver,"(47.16806, -108.22779)",33.35904593308582,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59088,46.13006,-108.02933,Worden,MT,Montana,True,,1168.0,1.3,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(46.13006, -108.02933)",99.15232798721642,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59089,45.09259,-107.34476,Wyola,MT,Montana,True,,495.0,0.8,30003,Big Horn,"{""30003"": 100}",Big Horn,30003,False,False,America/Denver,"(45.09259, -107.34476)",171.6787192197961,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59101,45.63013,-108.36445,Billings,MT,Montana,True,,41048.0,26.8,30111,Yellowstone,"{""30111"": 97.71, ""30003"": 2.29}",Yellowstone|Big Horn,30111|30003,False,False,America/Denver,"(45.63013, -108.36445)",135.7477350387804,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59102,45.77479,-108.58133,Billings,MT,Montana,True,,45549.0,1169.5,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(45.77479, -108.58133)",128.5110985701895,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59105,45.87708,-108.50145,Billings,MT,Montana,True,,32168.0,129.6,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(45.87708, -108.50145)",120.65754144953443,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59106,45.80637,-108.6948,Billings,MT,Montana,True,,19170.0,66.1,30111,Yellowstone,"{""30111"": 100}",Yellowstone,30111,False,False,America/Denver,"(45.80637, -108.6948)",128.08688763028502,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59201,48.15981,-105.64647,Wolf Point,MT,Montana,True,,5745.0,1.7,30085,Roosevelt,"{""30085"": 54.22, ""30055"": 37.76, ""30105"": 8.02}",Roosevelt|McCone|Valley,30085|30055|30105,False,False,America/Denver,"(48.15981, -105.64647)",108.39883095677088,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59211,48.69582,-104.35493,Antelope,MT,Montana,True,,259.0,1.0,30091,Sheridan,"{""30091"": 100}",Sheridan,30091,False,False,America/Denver,"(48.69582, -104.35493)",177.49792065003504,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59212,48.19231,-104.16968,Bainville,MT,Montana,True,,383.0,0.5,30085,Roosevelt,"{""30085"": 100}",Roosevelt,30085,False,False,America/Denver,"(48.19231, -104.16968)",174.0973688384481,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59213,48.17553,-104.85612,Brockton,MT,Montana,True,,778.0,0.8,30085,Roosevelt,"{""30085"": 56.62, ""30083"": 43.38}",Roosevelt|Richland,30085|30083,False,False,America/Denver,"(48.17553, -104.85612)",143.21550610937967,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59214,47.28325,-106.02221,Brockway,MT,Montana,True,,76.0,0.1,30055,McCone,"{""30055"": 83.9, ""30079"": 11.03, ""30033"": 5.07}",McCone|Prairie|Garfield,30055|30079|30033,False,False,America/Denver,"(47.28325, -106.02221)",85.4730221388117,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
59215,47.50431,-105.74543,Circle,MT,Montana,True,,973.0,0.3,30055,McCone,"{""30055"": 90.95, ""30021"": 9.05}",McCone|Dawson,30055|30021,False,False,America/Denver,"(47.50431, -105.74543)",96.16062972390506,697916.0,38_0_yes,47.55690216863447,-107.80526802616642,200.0
